id,nombre,tipo,municipio,categoria,costo_estimado,tiempo_horas,nivel_afluencia,lat,lng,foto_url
1,Izapa (grupo F),destino,Tapachula,cultura,79,2.4,349,14.9233,-92.179958,
2,Izapa (grupo A),destino,Tapachula,cultura,63,1.7,252,14.913507,-92.184326,
3,Club Campestre,destino,Tapachula,naturaleza,55,2.9,70,14.939568,-92.253411,
4,Museo del Ambar de Chiapas,destino,San Cristobal de las Casas,cultura,71,1.1,304,16.735843,-92.642162,
5,Museo de Culturas Populares,destino,San Cristobal de las Casas,cultura,33,1.9,72,16.736513,-92.641272,
6,Na Bolom,destino,San Cristobal de las Casas,cultura,31,1.3,62,16.741687,-92.629943,
7,Jardin del Jaguar,destino,San Cristobal de las Casas,naturaleza,111,2.3,275,16.741697,-92.630021,
8,Museo de la Medicina Maya,destino,San Cristobal de las Casas,cultura,88,1.6,404,16.750033,-92.638689,
9,Mirador El Tepehuaje,destino,Tuxtla Gutierrez,fotografia,0,1.1,53,16.829908,-93.090857,
10,Abasolo,destino,Ocosingo,naturaleza,196,3.1,1181,16.81845,-92.216453,
11,Agua Azul,destino,Ocosingo,naturaleza,102,2.7,4818,17.255205,-92.115034,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Cascadas_de_Agua_Azul_5.jpg/960px-Cascadas_de_Agua_Azul_5.jpg
12,Parque Bicentenario,destino,Tapachula,naturaleza,116,2.7,292,14.905662,-92.263348,
13,Club Leones,destino,Tapachula,naturaleza,77,3.2,150,14.887253,-92.291296,
14,La Pochota,destino,Chiapa de Corzo,naturaleza,192,3.4,9598,16.707723,-93.017206,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/LaPochotaChiapa1.jpg/960px-LaPochotaChiapa1.jpg
15,Cascada El Aguacero,destino,Jiquipilas,fotografia,37,1.2,462,16.759318,-93.525176,
16,Museo Arqueológico del Soconusco,destino,Tapachula,cultura,54,2.2,549,14.910225,-92.265364,
17,Cascadas de El Chiflón,destino,Tzimol,familiar,165,3.5,6004,16.189945,-92.273826,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/UsumacintaYaxchilan16.JPG/960px-UsumacintaYaxchilan16.JPG
18,Wasserfall,destino,Palenque,fotografia,3,1.2,91,17.485496,-92.043126,
19,Estela 11,destino,Tenosique,cultura,114,1.9,565,16.899059,-90.963099,
20,Estela 3,destino,Tenosique,cultura,85,1.6,390,16.898903,-90.963497,
21,Gran Acrópolis,destino,Tenosique,cultura,82,2.1,368,16.898689,-90.964726,
22,Templo olvidado,destino,Palenque,cultura,102,1.6,490,17.484537,-92.054948,
23,Misol-Ha,destino,Palenque,naturaleza,60,2.7,2558,17.390948,-91.99869,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Misolha_idyllic_upright.jpg/960px-Misolha_idyllic_upright.jpg
24,Pequeña Acrópolis,destino,Tenosique,cultura,59,1.7,233,16.899636,-90.967095,
25,La Gran Plaza,destino,Tenosique,cultura,104,2.5,505,16.899038,-90.963889,
26,Diana Cazadora,destino,Tuxtla Gutierrez,cultura,37,2.0,98,16.747406,-93.083231,
27,Antorcha de la Solidaridad,destino,Tuxtla Gutierrez,cultura,34,2.1,76,16.746753,-93.141245,
28,Bandera Monumental,destino,Tuxtla Gutierrez,cultura,63,1.3,252,16.773344,-93.131027,
29,ZooMat,destino,Tuxtla Gutierrez,familiar,80,2.7,52,16.725469,-93.094421,
30,Mirador Ceiba,destino,Tuxtla Gutierrez,fotografia,31,1.2,393,16.792897,-93.07749,
31,Mirador La Coyota,destino,Tuxtla Gutierrez,fotografia,28,1.2,360,16.818366,-93.069117,
32,Parking Roblar; Mirador Roblar,destino,Tuxtla Gutierrez,fotografia,24,1.1,320,16.835497,-93.078279,
33,La Pelona,destino,Villaflores,naturaleza,93,3.3,209,16.329246,-93.299145,
34,Nambiyugüa,destino,Villaflores,naturaleza,82,2.4,169,16.290253,-93.333869,
35,la Gruta,destino,La Independencia,naturaleza,170,2.5,491,16.135355,-91.728105,
36,Caparrosa,destino,Villaflores,naturaleza,162,2.9,463,16.359998,-93.322699,
37,Lakan'Ha,destino,Tenosique,cultura,63,1.5,257,16.737759,-91.114299,
38,Cascadas de Santo Domingo,destino,Tenosique,naturaleza,89,2.4,195,17.026258,-91.413361,
39,Casa de Cultura,destino,Tapachula,eventos,111,1.5,550,14.989781,-92.168551,
40,Estela 1,destino,Tenosique,cultura,111,2.4,549,16.89932,-90.963757,
41,Cruz,destino,Berriozabal,fotografia,40,1.2,495,16.871345,-93.201501,
42,Estatua de Emiliano Zapata,destino,Las Margaritas,fotografia,20,0.5,274,16.315465,-91.987927,
43,María Adelina Flores Morales,destino,San Cristobal de las Casas,cultura,108,1.5,527,16.733797,-92.637973,
44,Ángel Robles Ramirez,destino,San Cristobal de las Casas,cultura,35,1.5,80,16.733837,-92.638031,
45,Prudencio Moscoso Pastrana,destino,San Cristobal de las Casas,cultura,62,2.4,251,16.733838,-92.638085,
46,Mariano N. Ruíz Suasnavar,destino,San Cristobal de las Casas,cultura,96,2.4,454,16.733798,-92.638112,
47,Monumento al Dr. Manuel Velasco Suárez,destino,San Cristobal de las Casas,cultura,40,1.4,114,16.737058,-92.637912,
48,Las Canastas,destino,San Cristobal de las Casas,cultura,53,1.5,196,16.733711,-92.603669,
49,Kiosko,destino,Chiapa de Corzo,naturaleza,79,3.2,156,16.728195,-92.978392,
50,Monumento a Fray Bartolomé de Las Casas,destino,San Cristobal de las Casas,cultura,89,1.7,411,16.733652,-92.636747,
51,Grutas del Arco,destino,La Independencia,naturaleza,66,3.2,111,15.821741,-91.892133,
52,Tortugario,destino,La Independencia,naturaleza,66,3.3,109,15.827668,-91.897023,
53,Mirador La Atalaya,destino,Tuxtla Gutierrez,naturaleza,68,2.8,119,16.82851,-93.095078,
54,Templo de Quechula,destino,Berriozabal,cultura,48,2.0,161,17.054888,-93.421997,
55,5 de febrero,destino,Tapachula,naturaleza,175,3.9,508,14.92603,-92.258438,
56,izapa grupo B,destino,Tapachula,cultura,36,1.0,88,14.914441,-92.181409,
57,Rincón Víbora,destino,Villaflores,naturaleza,181,2.5,533,16.392377,-93.309674,
58,centro ecoturistico Laguna Miramar,destino,Las Margaritas,cultura,54,1.7,201,16.392955,-91.34157,
59,laguna Miramar,destino,Las Margaritas,naturaleza,135,3.1,363,16.405244,-91.267116,
60,laguna Cocodrilo,destino,Las Margaritas,naturaleza,77,2.5,150,16.400525,-91.297401,
61,lago ocotalito,destino,Ocosingo,naturaleza,50,3.6,53,16.945573,-91.601079,
62,Grutas El Mamut,destino,San Cristobal de las Casas,naturaleza,82,3.3,169,16.740941,-92.586277,
63,Parador turístico el tapir,destino,Las Margaritas,naturaleza,74,2.3,138,16.325767,-90.768811,
64,Cristo de Copoya,destino,Tuxtla Gutierrez,fotografia,23,1.5,304,16.719459,-93.119379,
65,Las nubes,destino,Las Margaritas,cultura,115,2.3,573,16.198394,-91.330766,
